column_name,category,image_name,object_name,feature_name,channel,parameters,channel_id,data_type
Group_Number,ID,,,Group_Number,,,,integer
Group_Index,ID,,,Group_Index,,,,integer
ModuleError_01Images,Execution,,,ModuleError,,01Images,,integer
ExecutionTime_01Images,Execution,,,ExecutionTime,,01Images,,float
Metadata_template,Metadata,,,template,,,,varchar(128)
Metadata_acname,Metadata,,,acname,,,,varchar(128)
Metadata_Frame,Metadata,,,Frame,,,,varchar(128)
Metadata_start_timestamp,Metadata,,,start_timestamp,,,,varchar(128)
Metadata_origin,Metadata,,,origin,,,,varchar(128)
Metadata_description,Metadata,,,description,,,,varchar(128)
Metadata_roi_end_x_pos_um,Metadata,,,roi_end_x_pos_um,,,,varchar(128)
Metadata_slide_id,Metadata,,,slide_id,,,,varchar(128)
Metadata_has_after_ablation_image,Metadata,,,has_after_ablation_image,,,,varchar(128)
Metadata_roi_end_y_pos_um,Metadata,,,roi_end_y_pos_um,,,,varchar(128)
Metadata_acid,Metadata,,,acid,,,,varchar(128)
Metadata_ablation_frequency,Metadata,,,ablation_frequency,,,,varchar(128)
Metadata_end_timestamp,Metadata,,,end_timestamp,,,,varchar(128)
Metadata_ablation_distance_between_shots_y,Metadata,,,ablation_distance_between_shots_y,,,,varchar(128)
Metadata_ablation_distance_between_shots_x,Metadata,,,ablation_distance_between_shots_x,,,,varchar(128)
Metadata_ablation_power,Metadata,,,ablation_power,,,,varchar(128)
Metadata_slideid,Metadata,,,slideid,,,,varchar(128)
Metadata_segment_data_format,Metadata,,,segment_data_format,,,,varchar(128)
Metadata_signal_type,Metadata,,,signal_type,,,,varchar(128)
Metadata_max_x,Metadata,,,max_x,,,,varchar(128)
Metadata_Series,Metadata,,,Series,,,,varchar(128)
Metadata_has_before_ablation_image,Metadata,,,has_before_ablation_image,,,,varchar(128)
Metadata_max_y,Metadata,,,max_y,,,,varchar(128)
Metadata_movement_type,Metadata,,,movement_type,,,,varchar(128)
Metadata_FileLocation,Metadata,,,FileLocation,,,,varchar(128)
Metadata_is_valid,Metadata,,,is_valid,,,,varchar(128)
Metadata_roi_start_y_pos_um,Metadata,,,roi_start_y_pos_um,,,,varchar(128)
Metadata_roi_start_x_pos_um,Metadata,,,roi_start_x_pos_um,,,,varchar(128)
Metadata_source_path,Metadata,,,source_path,,,,varchar(128)
ModuleError_02Metadata,Execution,,,ModuleError,,02Metadata,,integer
ExecutionTime_02Metadata,Execution,,,ExecutionTime,,02Metadata,,float
FileName_FullStack,Image,FullStack,,FileName,,,,varchar(128)
PathName_FullStack,Image,FullStack,,PathName,,,,varchar(256)
URL_FullStack,Image,FullStack,,URL,,,,varchar(256)
MD5Digest_FullStack,Image,FullStack,,MD5Digest,,,,varchar(32)
Scaling_FullStack,Image,FullStack,,Scaling,,,,float
Width_FullStack,Image,FullStack,,Width,,,,integer
Height_FullStack,Image,FullStack,,Height,,,,integer
Series_FullStack,Image,FullStack,,Series,,,,integer
Frame_FullStack,Image,FullStack,,Frame,,,,integer
FileName_ProbabStack,Image,ProbabStack,,FileName,,,,varchar(128)
PathName_ProbabStack,Image,ProbabStack,,PathName,,,,varchar(256)
URL_ProbabStack,Image,ProbabStack,,URL,,,,varchar(256)
MD5Digest_ProbabStack,Image,ProbabStack,,MD5Digest,,,,varchar(32)
Scaling_ProbabStack,Image,ProbabStack,,Scaling,,,,float
Width_ProbabStack,Image,ProbabStack,,Width,,,,integer
Height_ProbabStack,Image,ProbabStack,,Height,,,,integer
Series_ProbabStack,Image,ProbabStack,,Series,,,,integer
Frame_ProbabStack,Image,ProbabStack,,Frame,,,,integer
FileName_cellmask,Image,cellmask,,FileName,,,,varchar(128)
PathName_cellmask,Image,cellmask,,PathName,,,,varchar(256)
URL_cellmask,Image,cellmask,,URL,,,,varchar(256)
MD5Digest_cellmask,Image,cellmask,,MD5Digest,,,,varchar(32)
Scaling_cellmask,Image,cellmask,,Scaling,,,,float
Width_cellmask,Image,cellmask,,Width,,,,integer
Height_cellmask,Image,cellmask,,Height,,,,integer
Series_cellmask,Image,cellmask,,Series,,,,integer
Frame_cellmask,Image,cellmask,,Frame,,,,integer
Metadata_acname,Metadata,,,acname,,,,varchar
Metadata_acid,Metadata,,,acid,,,,varchar
ModuleError_03NamesAndTypes,Execution,,,ModuleError,,03NamesAndTypes,,integer
ExecutionTime_03NamesAndTypes,Execution,,,ExecutionTime,,03NamesAndTypes,,float
ModuleError_04Groups,Execution,,,ModuleError,,04Groups,,integer
ExecutionTime_04Groups,Execution,,,ExecutionTime,,04Groups,,float
ModuleError_05Resize,Execution,,,ModuleError,,05Resize,,integer
ExecutionTime_05Resize,Execution,,,ExecutionTime,,05Resize,,float
Count_cell,Count,,cell,Count,,,,integer
ModuleError_06ConvertImageToObjects,Execution,,,ModuleError,,06ConvertImageToObjects,,integer
